event_id,event_date,title,location_description,region,landslide_category,trigger,size,fatality_count,latitude,longitude,source_name
3143,2011-02-24,"Jammu-Srinagar National Highway, Digdol area, Jammu and Kashmir","Jammu-Srinagar National Highway, Digdol area, Jammu and Kashmir",Kashmir,landslide,downpour,medium,0,33.3307,75.1772,thehindu
1769,2010-04-20,"India Gate(?), Srinagar-Leh highway, Kashmir","India Gate(?), Srinagar-Leh highway, Kashmir",Kashmir,landslide,downpour,medium,0,34.38667,76.34149,Kashmir Observer
7011,2015-06-25,"NH-1A, 7km from Srinigar","NH-1A, 7km from Srinigar",Kashmir,mudslide,downpour,medium,0,34.141,74.6568,The Times of India
4920,2013-06-15,"Tapri Near Rekong Peo, Kinnaur District","Tapri Near Rekong Peo, Kinnaur District",Himachal Pradesh,landslide,downpour,medium,0,31.5168,78.0976,www.hindustantimes.com
2378,2010-03-09,"Shivpuri, Rishikesh-Badrinath hwy","Shivpuri, Rishikesh-Badrinath hwy",Uttarakhand,landslide,downpour,medium,0,30.135,78.3896,timesofindia.indiatimes
5275,2013-04-08,"Suruhuto Town, Nagaland","Suruhuto Town, Nagaland",Nāgāland,landslide,monsoon,medium,0,26.1498,94.6055,www.nagalandpost.com
2440,2010-09-17,"Maletha village, near Badrinath","Maletha village, near Badrinath",Uttarakhand,landslide,downpour,very_large,0,30.75402,79.4997,Telegraph
9468,2016-07-08,"Seri, Ramban","Seri, Ramban",Kashmir,landslide,downpour,medium,0,33.2483,75.2131,The Indian Express
9138,2016-07-21,"NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India","NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India",West Bengal,landslide,rain,medium,0,26.9015,88.4719,I Love Siliguri
3892,2011-07-08,"Panthal, Jammu-Srinagar National Highway, between Kashmir and the rest of the country","Panthal, Jammu-Srinagar National Highway, between Kashmir and the rest of the country",Kashmir,landslide,downpour,medium,0,33.0271,75.0018,Times of India
1031,2009-05-26,"Kurseong, Darjeeling, West Bengal","Kurseong, Darjeeling, West Bengal",Bengal,landslide,tropical_cyclone,medium,7,26.8836,88.2791,headlinesindia
324,2007-10-25,Salem - Yercaud ghat road,Salem - Yercaud ghat road,Tamil Nādu,landslide,rain,medium,1,11.7792,78.2034,New India Press
4240,2012-04-03,"Pithoragarh district, Uttarakhand","Pithoragarh district, Uttarakhand",Uttarakhand,landslide,unknown,medium,2,29.5798,80.2123,ibnlive.in
2247,2010-08-14,"Tuensang-Shamatore(Sampurre) rd, Nagaland","Tuensang-Shamatore(Sampurre) rd, Nagaland",Nāgāland,landslide,downpour,medium,0,26.148,94.8422,morungexpress
2176,2010-07-30,"Amboli, Belagum, 1.5 km from main waterfalls","Amboli, Belagum, 1.5 km from main waterfalls",Maharashtra,landslide,rain,medium,0,15.9517,73.9958,allaboutbelgaum.com
2181,2010-07-31,"Milimd Nagar slum, Ghatkopar area in suburban Mumbai","Milimd Nagar slum, Ghatkopar area in suburban Mumbai",Maharashtra,landslide,downpour,medium,0,19.1287,72.8889,Times of India
6964,2015-06-17,"National Highway 31A, Darjeeling Hills","National Highway 31A, Darjeeling Hills",West Bengal,landslide,downpour,small,0,27.0087,88.443,The Statesman
1149,2009-09-09,"Bilaspur and Mandi towns, Chandigarh-Manali National Highway-21, Himachal Pradesh","Bilaspur and Mandi towns, Chandigarh-Manali National Highway-21, Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.5494,76.9001,thaindian
3927,2011-08-16,"Garo Hills, Tura","Garo Hills, Tura",Meghālaya,landslide,downpour,medium,6,25.5144,90.2167,theshillongtimes.com
7127,2015-04-22,under the third and fourth Padil-Bajal under-bridge railway tracks,under the third and fourth Padil-Bajal under-bridge railway tracks,Karnataka,mudslide,downpour,small,0,12.8659,74.8852,Daji World
2476,2010-09-20,"NH-87 near Naintital, Uttarakhand","NH-87 near Naintital, Uttarakhand",Uttarakhand,landslide,downpour,medium,0,29.3987,79.4841,english.ntdtv
7308,2015-08-15,Gagnani,Gagnani,Uttarakhand,landslide,continuous_rain,medium,0,30.9111,78.6814,Times of India
3890,2011-07-08,Manali highway near Shambal village,Manali highway near Shambal village,Himachal Pradesh,landslide,downpour,medium,0,31.71457,77.02239,Times of India
2103,2010-07-20,"Badrinath and Yamunotri shrines(?), Garhwal region, Uttarakhand","Badrinath and Yamunotri shrines(?), Garhwal region, Uttarakhand",Uttarakhand,landslide,downpour,medium,0,29.9862,78.6115,dnaindia
4468,2012-07-22,"Pulloorampara, Kerala","Pulloorampara, Kerala",Kerala,landslide,downpour,medium,0,11.405,76.0376,hisz.rsoe
